status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1634586580175111,https://www.facebook.com/wearemitu/posts/1634586580175111,https://wearemitu.com/mitu-world/chicana-slam-poet-claps-back-at-trump-with-a-history-lesson/,Dear Donald Trump...,Link,Identities,17/08/2016,0,0,1,0,,,
1405630409737397_1500405023593268,https://www.facebook.com/wearemitu/posts/1500405023593268,https://wearemitu.com/mitu-world/chicano-art-collector/,He's got so much artwork that he sleeps on the floor of his two-bedroom apartment.,Link,Identities,7/10/2015,0,0,1,0,,,
1405630409737397_1515200398780397,https://www.facebook.com/wearemitu/posts/1515200398780397,https://wearemitu.com/mitu-world/chicano-history/,It perfectly captures what it was like to be Chicano in the 90s...,Link,Identities,17/11/2015,0,1,1,0,0,6,0
1405630409737397_1523216764645427,https://www.facebook.com/wearemitu/posts/1523216764645427,https://wearemitu.com/mitu-world/chicano-history/,It perfectly captures what it was like to be Chicano in the 90s...,Link,Identities,5/12/2015,0,1,0,1,1,6,18
1405630409737397_1531208650512905,https://www.facebook.com/wearemitu/posts/1531208650512905,https://wearemitu.com/mitu-world/chicano-history/,It perfectly captures what it was like to be Chicano in the 90s...,Link,Identities,20/12/2015,0,1,0,1,2,6,15
1405630409737397_1575757599391343,https://www.facebook.com/wearemitu/posts/1575757599391343,https://wearemitu.com/mitu-world/chicano-history/,It perfectly captures what it was like to be Chicano in the 90s...,Link,Identities,2/04/2016,0,1,0,1,3,6,104
1405630409737397_1599553353678434,https://www.facebook.com/wearemitu/posts/1599553353678434,https://wearemitu.com/mitu-world/chicano-history/,It perfectly captures what it was like to be Chicano in the 90s...,Link,Identities,26/05/2016,0,1,0,1,4,6,54
1405630409737397_1614245828875853,https://www.facebook.com/wearemitu/posts/1614245828875853,https://wearemitu.com/mitu-world/chicano-history/,It perfectly captures what it was like to be Chicano in the 90s...,Link,Identities,2/07/2016,0,1,0,1,5,6,37
1405630409737397_1632818273685275,https://www.facebook.com/wearemitu/posts/1632818273685275,https://wearemitu.com/mitu-world/chicano-history/,It perfectly captures what it was like to be Chicano in the 90s...,Link,Identities,13/08/2016,0,1,0,1,6,6,42
1405630409737397_1512013542432416,https://www.facebook.com/wearemitu/posts/1512013542432416,https://wearemitu.com/mitu-world/chicharito-cries-when-talking-family/,“Ver llorar a mi madre… fue horrible.”,Link,Sports,9/11/2015,0,0,1,0,,,
1405630409737397_1675022459464856,https://www.facebook.com/1405630409737397_1675022459464856,https://wearemitu.com/mitu-world/chicharito-wants-to-give-mexico-fans-some-post-election-joy/,The Trump effect can’t ruin this game.,Link,Sports,11/11/2016,0,0,1,0,,,
1405630409737397_1655707421396360,https://www.facebook.com/wearemitu/posts/1655707421396360,https://wearemitu.com/mitu-world/children-in-venezuela-are-fainting-in-school-amid-food-crisis/,“I'm hungry” will have a different meaning after this.,Link,News & Issues,4/10/2016,0,0,1,0,,,
1405630409737397_1657187434581692,https://www.facebook.com/wearemitu/posts/1657187434581692,https://wearemitu.com/mitu-world/china-is-ready-to-outpace-the-u-s-in-tequila-consumption/,Because tequila's always a good idea.,Link,News & Issues,8/10/2016,0,0,1,0,,,
1405630409737397_1517217818578655,https://www.facebook.com/wearemitu/posts/1517217818578655,https://wearemitu.com/mitu-world/chingo-bling-canelo-vs-miguel-cotto/,“Saca tu colcha porque te vas a dormir ahí en el ring.” #BURN,Link,Sports,21/11/2015,0,0,1,0,,,
1405630409737397_1691791887787913,https://www.facebook.com/1405630409737397_1691791887787913,https://wearemitu.com/mitu-world/chiquis-rivera-sings-ovarios-on-jenni-rivera-tribute-album/,What do you think? Did they pull it off?,Link,Music,14/12/2016,0,0,1,0,,,
1405630409737397_1677128659254236,https://www.facebook.com/1405630409737397_1677128659254236,https://wearemitu.com/mitu-world/chris-perezs-memoir-about-selena-will-be-turned-into-a-television-series/,I can't wait!,Link,Celebrity & Gossip,16/11/2016,0,0,1,0,,,
1405630409737397_1680530682247367,https://www.facebook.com/1405630409737397_1680530682247367,https://wearemitu.com/mitu-world/christian-cuevas-just-keeps-going-on-the-voice/,He dedicated the song to his fiancée. <U+2764><U+FE0F>,Link,Music,25/11/2016,0,0,1,0,,,
1405630409737397_1684091051891330,https://www.facebook.com/1405630409737397_1684091051891330,https://wearemitu.com/mitu-world/christian-cuevas-makes-it-to-the-voice-semifinals/,"Once again, Alicia Keys was FEELING it.",Link,TV & Movies,30/11/2016,0,0,1,0,,,
1405630409737397_1593341834299586,https://www.facebook.com/wearemitu/posts/1593341834299586,https://wearemitu.com/mitu-world/christina-aguilera-and-whitney-houston-to-make-history-on-stage/,Still not sure how I feel about this.,Link,Celebrity & Gossip,12/05/2016,0,0,1,0,,,
1405630409737397_1554997448134025,https://www.facebook.com/wearemitu/posts/1554997448134025,https://wearemitu.com/mitu-world/christina-aguilera-proves-that-she-loves-miley-cyrus-and-does-a-great-blake-shelton-impression/,Christina Aguilera just became the queen of shade.,Link,Celebrity & Gossip,17/02/2016,0,0,1,0,,,
1405630409737397_1550316641935439,https://www.facebook.com/wearemitu/posts/1550316641935439,https://wearemitu.com/mitu-world/christina-milian-opens-up-about-domestic-abuse-on-her-reality-tv-show/,She opened up like never before.,Link,Celebrity & Gossip,6/02/2016,0,0,1,0,,,
1405630409737397_1598214357145667,https://www.facebook.com/wearemitu/posts/1598214357145667,https://wearemitu.com/mitu-world/christina-milian-totally-nailed-j-los-waiting-for-tonight-on-lip-sync-battle/,How did she not win?!,Link,TV & Movies,23/05/2016,0,0,1,0,,,
1405630409737397_1705287396438362,https://www.facebook.com/1405630409737397_1705287396438362,https://wearemitu.com/mitu-world/chulita-vinyl-club/,Stop saying it's a boy thing.,Link,Music,9/01/2017,0,0,1,0,,,
1405630409737397_1563230467310723,https://www.facebook.com/wearemitu/posts/1563230467310723,https://wearemitu.com/mitu-world/citizens-demand-to-see-donald-trumps-penis/,We have the right to see it.,Link,Sensationalist,9/03/2016,0,0,1,0,,,
1405630409737397_1572835446350225,https://www.facebook.com/wearemitu/posts/1572835446350225,https://wearemitu.com/mitu-world/city-of-los-angeles-to-pay-big-money-for-illegal-curfews/,They got themselves in this mess.,Link,News & Issues,28/03/2016,0,0,1,0,,,
1405630409737397_1518128218487615,https://www.facebook.com/wearemitu/posts/1518128218487615,https://wearemitu.com/mitu-world/clerical-error-allows-gay-couple-to-marry-in-costa-rica/,Super romantic story...until it was not.,Link,Sex & Relationships,23/11/2015,0,1,1,0,0,1,0
1405630409737397_1560189070948196,https://www.facebook.com/wearemitu/posts/1560189070948196,https://wearemitu.com/mitu-world/clerical-error-allows-gay-couple-to-marry-in-costa-rica/,Super romantic story...until it was not.,Link,Sex & Relationships,1/03/2016,0,1,0,1,1,1,99
1405630409737397_1541246622842441,https://www.facebook.com/wearemitu/posts/1541246622842441,https://wearemitu.com/mitu-world/colbert-el-chapo/,Funny or offensive? You decide...,Link,Celebrity & Gossip,15/01/2016,0,0,1,0,,,
1405630409737397_1559701224330314,https://www.facebook.com/wearemitu/posts/1559701224330314,https://wearemitu.com/mitu-world/college-student-chasing-dreams-while-doing-farm-work/,"“When I go home, I think to myself: See this is why you stay up late and do good on your exams. So you don’t end up here...”",Link,Identities,29/02/2016,0,1,1,0,0,1,0
1405630409737397_1599226297044473,https://www.facebook.com/wearemitu/posts/1599226297044473,https://wearemitu.com/mitu-world/college-student-chasing-dreams-while-doing-farm-work/,"“When I go home, I think to myself: See this is why you stay up late and do good on your exams. So you don’t end up here...”",Link,Identities,25/05/2016,0,1,0,1,1,1,86
1405630409737397_1596395330660903,https://www.facebook.com/wearemitu/posts/1596395330660903,https://wearemitu.com/mitu-world/colombia-just-make-the-biggest-coke-bust-ever/,This looks straight out of a movie.,Link,News & Issues,19/05/2016,0,0,1,0,,,
1405630409737397_1696198677347234,https://www.facebook.com/1405630409737397_1696198677347234,https://wearemitu.com/mitu-world/colombian-cargo-plane-crashes-killing-5/,The footage is terrifying.,Link,Sensationalist,22/12/2016,0,0,1,0,,,
1405630409737397_1554624164838020,https://www.facebook.com/wearemitu/posts/1554624164838020,https://wearemitu.com/mitu-world/colombian-fashion-designer-edwing-dangelo-is-putting-the-spotlight-on-afro-latinos/,He's changing the way the fashion world thinks.,Link,Beauty & Fashion,16/02/2016,0,0,1,0,,,
1405630409737397_1684711495162619,https://www.facebook.com/1405630409737397_1684711495162619,https://wearemitu.com/mitu-world/colombian-government-has-ratified-a-peace-agreement-with-farc/,"'I want to invite all, with an open mind and open heart, to give peace a chance.'",Link,News & Issues,3/12/2016,0,0,1,0,,,
1405630409737397_1608825746084528,https://www.facebook.com/wearemitu/posts/1608825746084528,https://wearemitu.com/mitu-world/colombian-soccer-players-show-they-can-dance-cumbia-with-the-best-of-them/,The running man challenge has nothing on this.,Link,Sports,17/06/2016,0,0,1,0,,,
1405630409737397_1678290679138034,https://www.facebook.com/1405630409737397_1678290679138034,https://wearemitu.com/mitu-world/come-december-mexican-citizens-will-not-need-a-visa-to-enter-canada/,"""Canada and Mexico are more than just friends.""",Link,News & Issues,21/11/2016,0,0,1,0,,,
1405630409737397_1562618287371941,https://www.facebook.com/wearemitu/posts/1562618287371941,https://wearemitu.com/mitu-world/comedian-louis-ck-emailed-his-fans-and-asked-them-not-to-vote-for-trump/,"“He’s a sad man.""",Link,Citizenship & Politics,8/03/2016,0,0,1,0,,,
1405630409737397_1659920434308392,https://www.facebook.com/1405630409737397_1659920434308392,https://wearemitu.com/mitu-world/company-facing-outrage-for-grab-her-by-the-taco-instagram-post/,Someone probably got fired.,Link,News & Issues,13/10/2016,0,0,1,0,,,
1405630409737397_1505303489770088,https://www.facebook.com/wearemitu/posts/1505303489770088,https://wearemitu.com/mitu-world/compton-kid-sings-mexican-corridos/,"“Yo soy negro, claro. Afroamericano. Corazón y alma de un Mexicano.”",Link,Identities,21/10/2015,0,1,1,0,0,6,0
1405630409737397_1516272625339841,https://www.facebook.com/wearemitu/posts/1516272625339841,https://wearemitu.com/mitu-world/compton-kid-sings-mexican-corridos/,"“Yo soy negro, claro. Afroamericano. Corazón y alma de un Mexicano.”",Link,Identities,19/11/2015,0,1,0,1,1,6,29
1405630409737397_1527433550890415,https://www.facebook.com/wearemitu/posts/1527433550890415,https://wearemitu.com/mitu-world/compton-kid-sings-mexican-corridos/,"“Yo soy negro, claro. Afroamericano. Corazón y alma de un Mexicano.”",Link,Identities,13/12/2015,0,1,0,1,2,6,24
1405630409737397_1538256676474769,https://www.facebook.com/wearemitu/posts/1538256676474769,https://wearemitu.com/mitu-world/compton-kid-sings-mexican-corridos/,Only Latinos will get these.,Link,Identities,7/01/2016,0,1,0,1,3,6,25
1405630409737397_1550921181874985,https://www.facebook.com/wearemitu/posts/1550921181874985,https://wearemitu.com/mitu-world/compton-kid-sings-mexican-corridos/,"“Yo soy negro, claro. Afroamericano. Corazón y alma de un Mexicano.”",Link,Identities,7/02/2016,0,1,0,1,4,6,31
1405630409737397_1569719339995169,https://www.facebook.com/wearemitu/posts/1569719339995169,https://wearemitu.com/mitu-world/compton-kid-sings-mexican-corridos/,"""Yo soy negro, claro. Afroamericano. Corazón y alma de un Mexicano.”",Link,Identities,23/03/2016,0,1,0,1,5,6,45
1405630409737397_1588241511476285,https://www.facebook.com/wearemitu/posts/1588241511476285,https://wearemitu.com/mitu-world/compton-kid-sings-mexican-corridos/,"""Yo soy negro, claro. Afroamericano. Corazón y alma de un Mexicano.”",Link,Identities,30/04/2016,0,1,0,1,6,6,38
1405630409737397_1708728876094214,https://www.facebook.com/1405630409737397_1708728876094214,https://wearemitu.com/mitu-world/congressman-is-claiming-vicente-fernandez-is-as-bad-as-russian-hacking/,He's not kidding.,Link,News & Issues,17/01/2017,0,0,1,0,,,
