status_id,permalink,post_type,video_repost_sharetext,created_time,date,sponsored,video_meme,series,category,format,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1814131018887332,https://www.facebook.com/1405630409737397_1814131018887332,video,When you love yourself. :two_hearts:,10/08/2017 14:00,10/08/2017,0,1,Video Memes,Other,Square,0,1,0,,,
1405630409737397_1769014650065636,https://www.facebook.com/1405630409737397_1769014650065636,video,When you make the most epic Mother's Day card.,14/05/2017 7:00,14/05/2017,0,0,NA,Family & Friends,Square,0,1,0,,,
1405630409737397_1753554778278290,https://www.facebook.com/1405630409737397_1753554778278290,video,"When you really aren't about that life.

Like Bad Hombres on Facebook --> Bad Hombres",12/04/2017 7:00,12/04/2017,0,0,Bad Hombres Share,Latino Culture,Square,0,1,0,,,
1405630409737397_1692186857748416,https://www.facebook.com/1405630409737397_1692186857748416,video,When you smell that sofrito.,14/12/2016 16:00,14/12/2016,0,1,Video Memes,Food & Beverages,Square,1,1,0,0,1,0
1405630409737397_1703999919900443,https://www.facebook.com/1405630409737397_1703999919900443,video,When you smell that sofrito.,9/01/2017 16:00,9/01/2017,0,1,Video Memes,Food & Beverages,Square,1,0,1,1,1,26
1405630409737397_1645169052450197,https://www.facebook.com/1405630409737397_1645169052450197,video,When you smell the fresh pan dulce.,10/09/2016 16:00,10/09/2016,0,1,Video Memes,Food & Beverages,Square,0,1,0,,,
1405630409737397_1546707598963010,https://www.facebook.com/1405630409737397_1546707598963010,video,When you treat the GOP debate like a wrestling match.,28/01/2016 18:00,28/01/2016,0,0,Voting,Citizenship & Politics,Regular,0,1,0,,,
1405630409737397_1661660830801019,https://www.facebook.com/1405630409737397_1661660830801019,video,When you try to act gangster.,17/10/2016 11:00,17/10/2016,0,0,Sketch,Other,Regular,1,1,0,0,1,0
1405630409737397_1683172448649857,https://www.facebook.com/1405630409737397_1683172448649857,video,When you try to act gangster.,29/11/2016 7:00,29/11/2016,0,0,Sketch,Other,Regular,1,0,1,1,1,43
1405630409737397_1517328391900931,https://www.facebook.com/1405630409737397_1517328391900931,video,When you try to be nice...and fail.,21/11/2015 19:00,21/11/2015,0,1,Video Memes,Other,Square,0,1,0,,,
1405630409737397_1790708127896288,https://www.facebook.com/1405630409737397_1790708127896288,video,When you try to flex on a date but it backfires.,25/06/2017 11:01,25/06/2017,0,0,Bad Hombres Share,Sex & Relationships,Square,0,1,0,,,
1405630409737397_1548116575488779,https://www.facebook.com/1405630409737397_1548116575488779,video,When you turn the taco stand into a club...,31/01/2016 23:30,31/01/2016,0,1,Video Memes,Food & Beverages,Square,0,1,0,,,
1405630409737397_1622037281430041,https://www.facebook.com/1405630409737397_1622037281430041,video,When you use Adobo for everything.,20/07/2016 11:00,20/07/2016,0,1,Video Memes,Beauty & Fashion,Square,0,1,0,,,
1405630409737397_1541345196165917,https://www.facebook.com/1405630409737397_1541345196165917,video,When you want to call me fat but be nice at the same time...,16/01/2016 16:00,16/01/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1644060019227767,https://www.facebook.com/1405630409737397_1644060019227767,video,When your abuela is chismosa AF,8/09/2016 7:00,8/09/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1793023394331428,https://www.facebook.com/1405630409737397_1793023394331428,video,When your best friend is a baby.,30/06/2017 11:00,30/06/2017,0,0,NA,Family & Friends,Square,1,1,0,0,1,0
1405630409737397_1807397029560731,https://www.facebook.com/1405630409737397_1807397029560731,video,When your best friend is a baby.,30/07/2017 20:00,30/07/2017,0,0,NA,Family & Friends,Square,1,0,1,1,1,30
1405630409737397_1642873906013045,https://www.facebook.com/1405630409737397_1642873906013045,video,When your best friend makes plans without you.,5/09/2016 16:00,5/09/2016,0,0,Sketch,Family & Friends,Square,0,1,0,,,
1405630409737397_1632377933729309,https://www.facebook.com/1405630409737397_1632377933729309,video,When your crush takes forever to text back.,11/08/2016 16:00,11/08/2016,0,0,Sketch,Sex & Relationships,Square,0,1,0,,,
1405630409737397_1513383748962062,https://www.facebook.com/1405630409737397_1513383748962062,video,When your drunk uncle watches Star Wars...,12/11/2015 18:00,12/11/2015,0,0,NA,Family & Friends,Regular,0,1,0,,,
1405630409737397_1599345130365923,https://www.facebook.com/1405630409737397_1599345130365923,video,When your ex tries to hit you up.,26/05/2016 7:00,26/05/2016,0,1,Video Memes,Sex & Relationships,Square,0,1,0,,,
1405630409737397_1619133151720454,https://www.facebook.com/1405630409737397_1619133151720454,video,When your metiche game is on point.,13/07/2016 16:00,13/07/2016,0,0,Sketch,Latino Culture,Square,1,1,0,0,1,0
1405630409737397_1683612698605832,https://www.facebook.com/1405630409737397_1683612698605832,video,When your metiche game is on point.,30/11/2016 11:00,30/11/2016,0,0,Sketch,Latino Culture,Square,1,0,1,1,1,140
1405630409737397_1570996356534134,https://www.facebook.com/1405630409737397_1570996356534134,video,"When your mom needs actual proof que ""ya comiste.""",25/03/2016 18:00,25/03/2016,0,0,Sketch,Family & Friends,Regular,1,1,0,0,1,0
1405630409737397_1651746391792463,https://www.facebook.com/wearemitu/videos/1651746391792463/,video,"When your mom needs actual proof que ""ya comiste.""",26/09/2016 7:00,26/09/2016,0,0,Sketch,Family & Friends,Regular,1,0,1,1,1,185
1405630409737397_1602056186761484,https://www.facebook.com/1405630409737397_1602056186761484,video,When your mom starts praying you know its all over.,1/06/2016 11:00,1/06/2016,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1680502335583535,https://www.facebook.com/1405630409737397_1680502335583535,video,When your moms Thanksgiving Is poppin.,24/11/2016 11:00,24/11/2016,0,1,Video Memes,Food & Beverages,Square,0,1,0,,,
1405630409737397_1598745807092522,https://www.facebook.com/1405630409737397_1598745807092522,video,When your nose has better moves than you.,24/05/2016 11:00,24/05/2016,0,1,Video Memes,Music,Square,0,1,0,,,
1405630409737397_1710255912608177,https://www.facebook.com/1405630409737397_1710255912608177,video,when your parents give you a long name,19/01/2017 20:00,19/01/2017,0,0,Sketch,Latino Culture,Regular,1,1,0,0,1,0
1405630409737397_1725352924431809,https://www.facebook.com/1405630409737397_1725352924431809,video,when your parents give you a long name,19/02/2017 7:00,19/02/2017,0,0,Sketch,Latino Culture,Regular,1,0,1,1,1,31
1405630409737397_1646220542345048,https://www.facebook.com/wearemitu/videos/1646220542345048/,video,When you're alone at work and you think about the llorona.,13/09/2016 7:00,13/09/2016,0,1,Video Memes,Other,Square,1,1,0,0,1,0
1405630409737397_1681438535489915,https://www.facebook.com/1405630409737397_1681438535489915,video,When you're alone at work and you think about the llorona.,26/11/2016 20:00,26/11/2016,0,1,Video Memes,Other,Square,1,0,1,1,1,74
1405630409737397_1799652937001807,https://www.facebook.com/1405630409737397_1799652937001807,video,When you're done with la dieta.,13/07/2017 7:00,13/07/2017,0,1,Video Memes,Food & Beverages,Square,0,1,0,,,
